,Bot Xtr,CD,CDp,CL,Chinge,Cm,Cpmin,Top Xtr,XCp,alpha,deflection
0,0.0674,0.09278,0.08901,-0.4071,0.0,-0.0251,-1.6967,1.0,0.1814,-10.0,5.0
1,0.0724,0.0836,0.08006,-0.4395,0.0,-0.0414,-2.0753,1.0,0.1494,-9.5,5.0
2,0.0342,0.03608,0.03045,-0.4569,0.0,-0.0461,-3.1955,1.0,0.1433,-7.0,5.0
3,0.0294,0.02723,0.0208,-0.4243,0.0,-0.0452,-3.3122,1.0,0.1377,-6.5,5.0
4,0.0277,0.02261,0.01529,-0.379,0.0,-0.0435,-3.3299,0.9997,0.1294,-6.0,5.0
5,0.0332,0.01991,0.01219,-0.3016,0.0,-0.0477,-3.0754,0.9902,0.0855,-5.5,5.0
6,0.0481,0.01696,0.00912,-0.2252,0.0,-0.0518,-2.9031,0.9799,0.0126,-5.0,5.0
7,0.3119,0.01451,0.00784,-0.1482,0.0,-0.057,-2.5577,0.9683,-0.1443,-4.5,5.0
8,0.4374,0.01422,0.0078,-0.0705,0.0,-0.0616,-1.9088,0.954,-0.64,-4.0,5.0
9,0.5419,0.01391,0.00775,0.0071,0.0,-0.0654,-1.3069,0.9397,9.6322,-3.5,5.0
10,0.6335,0.01378,0.00777,0.0818,0.0,-0.0682,-0.8183,0.9247,1.0934,-3.0,5.0
11,0.7041,0.01382,0.00781,0.1444,0.0,-0.0682,-0.4629,0.9062,0.7267,-2.5,5.0
12,0.7648,0.0135,0.0075,0.2008,0.0,-0.067,-0.4712,0.8862,0.5859,-2.0,5.0
13,0.8319,0.01276,0.00699,0.2572,0.0,-0.0653,-0.5222,0.8674,0.5048,-1.5,5.0
14,1.0,0.01205,0.00642,0.3513,0.0,-0.0716,-0.6013,0.8504,0.4538,-1.0,5.0
15,1.0,0.01196,0.00614,0.3999,0.0,-0.0694,-0.6585,0.8245,0.4232,-0.5,5.0
16,1.0,0.01174,0.00577,0.4499,0.0,-0.0672,-0.7257,0.7984,0.3985,0.0,5.0
17,1.0,0.01145,0.0054,0.5007,0.0,-0.0653,-0.8032,0.766,0.3791,0.5,5.0
18,1.0,0.01101,0.00483,0.5526,0.0,-0.0631,-0.8925,0.7327,0.3625,1.0,5.0
19,1.0,0.01096,0.00449,0.6044,0.0,-0.061,-0.9919,0.6946,0.3487,1.5,5.0
20,1.0,0.01136,0.00469,0.6561,0.0,-0.0594,-1.1034,0.6488,0.338,2.0,5.0
21,1.0,0.01182,0.00496,0.7075,0.0,-0.058,-1.2309,0.6018,0.329,2.5,5.0
22,1.0,0.01232,0.00534,0.7586,0.0,-0.0568,-1.372,0.5525,0.3214,3.0,5.0
23,1.0,0.01291,0.0058,0.8089,0.0,-0.0555,-1.5293,0.502,0.3147,3.5,5.0
24,1.0,0.01362,0.00638,0.8582,0.0,-0.0542,-1.7044,0.4513,0.3087,4.0,5.0
25,1.0,0.01446,0.00707,0.9063,0.0,-0.0528,-1.9022,0.3994,0.3033,4.5,5.0
26,1.0,0.01541,0.00793,0.9529,0.0,-0.0513,-2.1345,0.345,0.2984,5.0,5.0
27,1.0,0.01655,0.00894,0.9974,0.0,-0.0496,-2.4316,0.2898,0.2937,5.5,5.0
28,1.0,0.01795,0.01015,1.0394,0.0,-0.0477,-2.7606,0.2369,0.2894,6.0,5.0
29,1.0,0.0196,0.01168,1.0794,0.0,-0.0457,-3.1914,0.1917,0.2852,6.5,5.0
30,1.0,0.02146,0.01348,1.1179,0.0,-0.0434,-3.741,0.1562,0.2811,7.0,5.0
31,1.0,0.02351,0.01551,1.1546,0.0,-0.041,-4.3029,0.1282,0.2772,7.5,5.0
32,1.0,0.02564,0.01771,1.189,0.0,-0.0384,-4.8711,0.1053,0.2733,8.0,5.0
